plant,treatment,day,Pyruvic acid methyl ester,Tween 40,Tween 80,Alpha-cyclodextrin,Glycogen,D-Cellobiose,alpha-D-Lactose,Beta-Methyl-D-Glucoside,D-Xylose,I-Erythritol,D-Mannitol,N-Acetyl-D-Glucosamine,D-Glucosaminic acid,Glucose-1-phosphate,"D,L-alpha-glycerol phosphate",D-Galactonic acid gamma-Lactone,D-Galacturonic acid,2-Hydroxy benzoic acid,4-Hydroxy benzoic acid,gamma-Hydroxybutyric acid,Itaconic acid,alpha-Ketobutyric acid,D-Malic acid,L-Arginine,L-Asparagine,L-Phenylalanine,L-Serine,L-Threonine,Glycyl-L-glutamic acid,Phenylethylamine,Putrescine
20,ACM,55,0.982,0.728,0.717,0.324,0.814,0.942,0.594,2.108,0.534,0.29,0.454,1.352,0.453,0.913,0.534,1.391,1.862,-0.009,0.512,0.645,0.485,0.14,1.404,0.303,0.935,0.366,0.391,0.103,0.196,0.258,1.164
26,ACM,55,0.907,1.336,1.472,0.503,0.754,1.951,0.968,1.757,0.914,0.468,0.867,2.227,0.483,1.171,1.109,2.012,1.976,0.041,0.653,1.07,0.8,0.2,1.961,0.719,1.573,0.635,1.446,0.621,0.781,0.559,0.827
30,ACM,55,1.037,1.828,1.458,0.527,1.198,0.506,0.869,1.21,0.505,0.146,1.134,1.385,0.487,0.395,0.316,0.18,1.08,0.131,0.689,0.775,0.91,0.344,1.808,0.585,1.327,0.274,1.055,0.19,0.176,0.327,1.058
40,ACM,55,0.706,0.947,0.835,0.225,0.569,0.299,0.453,0.51,0.216,-0.033,0.744,0.971,0.247,0.24,0.237,0.849,0.58,0.06,0.463,0.568,0.549,-0.061,1.788,0.358,0.98,0.119,0.898,-0.064,0.022,0.255,0.373
46,ACM,55,0.934,0.457,0.725,-0.035,-0.01,0.388,0.338,1.381,0.355,0.059,0.358,1.126,0.653,0.477,0.912,1.248,1.42,-0.127,0.482,0.772,0.656,-0.079,1.046,0.299,0.984,0.265,0.404,0.391,0.288,0.387,0.441
50,ACM,55,0.836,1.166,0.959,0.2,0.172,1.777,0.676,2.044,0.507,0.154,0.746,2.183,0.345,0.656,0.639,0.441,1.492,-0.034,0.331,0.519,0.458,-0.029,0.787,0.403,1.085,0.201,0.7,0.171,0.34,0.257,0.535
20,ACM,1,0.013,0.025,0.045,0.098,0.032,0.007,0.017,-0.001,0.022,0,0.014,0.019,0.011,0.002,0.009,0.001,0.001,0,0.018,0.015,0.013,0.004,-0.001,0,0.003,0.011,0.01,-0.001,-0.002,-0.001,0.002
26,ACM,1,0.005,0.012,0.014,0.026,0.017,0.024,0.009,0.002,0.016,0.002,0.008,0.016,0.012,0.005,0.014,-0.002,-0.003,-0.001,0.004,0.006,0.003,0.008,0.008,-0.004,-0.003,-0.006,-0.005,-0.001,0,0.003,0.01
30,ACM,1,0.005,0.116,0.029,0.027,0.025,0.012,-0.002,0.002,0.022,0.009,0.013,0.018,0.006,0.006,0.003,-0.004,-0.005,0.004,0.01,0.005,0.011,0,-0.002,0,0.001,-0.004,-0.001,0.001,-0.002,-0.004,-0.004
40,ACM,1,-0.001,0.006,0.003,-0.001,0.003,-0.001,0.001,-0.002,0.01,-0.002,-0.002,-0.001,-0.002,-0.001,0.001,0.001,0,-0.003,-0.002,-0.002,0.001,0,0.001,0,0.004,-0.001,-0.002,0.001,-0.002,-0.001,0.001
46,ACM,1,0.026,0.092,0.027,0.072,0.082,0.21,0.164,0.005,0.023,0.022,0.035,0.07,0.041,0.038,0.01,0.014,-0.003,0.007,0.068,0.022,0.041,0.03,0.019,-0.004,-0.002,-0.003,0.011,0.01,0.009,0.011,0.008
50,ACM,1,0.791,1.572,1.47,0.05,0.036,0.016,-0.004,-0.003,0.088,0.01,0.314,0.112,0.243,0.002,0.159,0.254,1.639,-0.023,0.512,0.72,-0.006,-0.004,0.012,0.346,1.509,0.154,0.673,0.035,0.014,0.287,0.623
3,CommA,55,1.213,2.072,1.729,0.959,1.203,0.68,0.872,1.305,0.632,0.296,0.83,1.887,0.643,0.632,1.229,0.391,1.831,0.034,0.78,1.135,0.853,0.184,1.491,0.484,1.394,0.554,1.179,0.65,0.432,0.754,0.7
