"","DNA1_P43_M01_WK1","DNA2_P3_M01_WK1","DNA3_P13_M01_WK1","DNA7_P43_M01_WK9","DNA8_P3_M01_WK9","DNA9_P13_M01_WK9","DNA10_P5_M06_WK1","DNA11_P18_M06_WK1","DNA12_P45_M06_WK1","DNA16_P5_M06_WK9","DNA17_P18_M06_WK9","DNA18_P45_M06_WK9","DNA19_P19_M09_WK1","DNA20_P1_M09_WK1","DNA21_P33_M09_WK1","DNA25_P19_M09_WK9","DNA26_P1_M09_WK9","DNA27_P33_M09_WK9"
"GCA_002483375.1",0,0,253,2955,1141,1917,11673,39581,14327,285,21678,70565,199,561,438,476,0,416
"GCF_016428745.1",236543,282178,222570,62617,4701,22768,9874,21132,31907,115,1348,12173,34345,57671,40709,76,8472,859
"GCF_900083755.1",0,0,0,0,0,0,7853,408,0,0,0,0,0,0,0,0,0,636
"GCA_023401895.1",0,0,0,81564,73107,77643,79279,93438,21683,139,145444,134882,24695,95693,47447,21465,3205,10073
"GCF_013407925.2",605,370,3375,260,179,131,7030,27619,10562,0,0,1441,8509,44686,14555,0,0,0
"GCF_016429155.1",8487,12414,20102,13533,41003,66686,7797,14639,3976,547,4106,12272,5081,23925,13653,6146,2737,22839
"GCA_013823325.1",11597,11492,18245,5982,3688,1931,4663,5683,1618,0,5435,4445,0,0,0,1209,0,893
"GCF_016919365.1",0,0,0,0,0,2583,7530,11361,6651,0,534,0,18094,28618,25408,1194,0,2675
"GCF_016428805.1",6927,9348,8503,10236,3517,7971,3407,3531,1538,104,37199,10538,396,529,361,1820,1976,8042
"GCF_016428815.1",1449,1502,2946,550,588,4404,2931,6887,1134,0,1347,678,524,1632,552,146,0,1609
"GCF_016428875.1",45365,61262,22942,148237,119035,105317,3456,3662,1002,550,16788,13805,2991,3774,3082,47476,10321,80882
"GCA_009360715.1",0,0,0,0,0,0,50865,4714,1586,0,0,464,2065,5246,3821,394,202,629
"GCF_016429115.1",16364,11406,23350,87222,20481,108372,2757,0,0,294,200087,1514,5928,5507,5667,165,604,2435
"GCA_017304125.1",2940,2033,3302,16389,9720,6958,1727,1901,457,0,2825,2351,4320,10541,7025,365,2824,3886
"GCF_016599875.1",0,0,0,0,0,0,16993,31442,10175,0,472,2681,14179,34901,25006,0,0,0
"GCA_900472955.1",0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,1639,0,0
"GCF_001020715.1",23434,15615,58586,10560,6452,2365,1006,1749,1639,0,0,210,1230,6529,2198,0,0,151
"GCF_902706145.1",0,0,0,0,0,599,1787,2507,0,0,0,234,4043,6188,5577,0,0,598
"GCF_016429255.1",0,0,0,654,696,458,576,1963,584,120,8302,1996,852,2343,1282,1717,1856,5173
"GCA_001898805.1",1107,2010,1739,5480,2758,4365,1061,1476,565,0,4329,1029,0,509,306,251,143,1077
"GCF_013364355.1",10702,16832,11550,2229,5584,4351,4713,5845,2923,0,2364,0,0,0,0,0,0,0
"GCF_000018665.1",0,0,0,0,0,0,1018,3721,1446,0,2024,0,8488,24547,0,15088,0,15388
"GCA_017511425.1",1891,1891,2960,1033,631,313,743,927,256,0,844,728,0,67,0,194,0,108
"GCF_902375225.1",0,0,0,0,118,0,598,1401,398,0,0,821,434,974,393,183,0,96
"GCF_016428845.1",1855,659,2931,0,0,750,408,444,152,0,103,279,10933,9768,17283,596,455,1047
"GCF_016428755.1",4558,4718,7149,4659,3286,5223,416,645,181,0,1811,1306,865,1856,1127,1301,680,3561
"GCF_019395145.1",0,0,0,0,372,139,366,114,0,0,130,497,161,111,109,274,0,327
"GCF_004312325.1",0,0,0,0,0,0,530,1159,0,0,0,0,0,0,0,0,0,0
"GCF_016429325.1",0,0,0,0,0,0,321,214,0,0,3319,0,0,135,137,0,503,164
"GCF_003051865.1",0,0,0,6516,5642,6251,6214,7249,1753,0,11447,10407,2011,7664,3791,1687,257,682
"GCF_016919265.1",0,0,0,0,0,0,344,988,0,0,1338,0,0,0,2057,0,4631,0
"GCF_014076415.1",0,0,0,0,0,0,6953,8635,4299,0,0,1141,6025,14294,10427,0,0,0
"GCF_010608115.1",6147,9996,6409,1214,3320,2605,2800,3457,1757,0,1284,0,0,0,0,0,0,0
"GCA_002420705.1",0,0,0,0,128,285,813,1213,651,0,0,94,1959,3074,2700,133,0,332
"GCF_016429135.1",3821,2572,9368,1793,1087,329,448,4302,752,0,0,102,515,3180,1011,0,284,0
