intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
309000,0.03787693062025006,0.0664802065404475,0.03787693062025006,0.03822098679638638,1.779935275080906,2.0,0.8380814866914534,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428875.1 Xylophilus sp. ASV27 strain=ASV27, ASM1642887v1",f85162e548135bd23c305040ecaffc78,0.0664802065404475,309000,0,1517000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8997899163998292,0.9162676092405915,0.9080287628202104,0.9162676092405915,False,550,550,14390,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Xylophilus;s__Xylophilus sp016428875
303000,0.03714145623927433,0.06847457627118644,0.03714145623927433,0.038012508686587905,1.8052805280528053,2.0,0.9360960134444115,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429155.1 Pedobacter sp. ASV12 strain=ASV12, ASM1642915v1",8ea15f9c0e21bf88fa984f9c1e9dea06,0.06847457627118644,303000,1,1214000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8992209510458689,0.9171416802429424,0.9081813156444056,0.9171416802429424,False,547,1097,14390,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp016429155
233000,0.02856092179455749,0.03584063990155361,0.02856092179455749,0.027310632383599723,1.6866952789699572,2.0,0.6748986742095548,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_001302245.1 Chitinophagaceae bacterium PMP191F strain=PMP191F, ASM130224v1",7e3040820a2294bca9d5bdcd813cdf0e,0.03584063990155361,233000,2,981000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8916331375128141,0.898187403022963,0.8949102702678886,0.898187403022963,False,393,1490,14390,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__PMP191F;s__PMP191F sp001302245
181000,0.022186810492767835,0.028914079185148676,0.02157391517528806,0.01980542043085476,1.6193181818181819,2.0,0.6720656682175442,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_002483375.1 Delftia acidovorans, ASM248337v1",35e5e4e4fa881e76842bb8c40fdef1aa,0.02973550188927222,176000,3,805000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8843989570177824,0.8927930796972762,0.8885960183575292,0.8927930796972762,False,285,1775,14390,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas acidovorans
161000,0.019735229222848736,0.0366325369738339,0.019735229222848736,0.020430854760250174,1.826086956521739,2.0,0.9362620100403383,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429115.1 Aquitalea sp. ASV15 strain=ASV15, ASM1642911v1",05a02e5d6bb4ca8a0a6dbe998cdab2c8,0.0366325369738339,161000,4,644000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8810647214764918,0.8988208307624863,0.8899427761194891,0.8988208307624863,False,294,2069,14390,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea magnusonii
159000,0.019490071095856827,0.027659574468085105,0.019122333905368962,0.018276580958999304,1.685897435897436,2.0,0.9254554469840239,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_003208655.1 Pedobacter nutrimenti strain=DSM 27372, ASM320865v1",90e8ff05ba9cc526d5d3b9ccb5958dd0,0.028191489361702127,156000,5,488000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8807095204365023,0.8912587510424449,0.8859841357394735,0.8912587510424449,False,263,2332,14390,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter nutrimenti
88000,0.01078695758764403,0.013659006909850554,0.010419220397156165,0.00945100764419736,1.6,1.0,0.8568066567545,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429005.1 Pedobacter sp. ASV19 strain=ASV19, ASM1642900v1",2794c608b3395607556af06b68bcb479,0.01414108950666881,85000,6,403000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.86406244186737,0.8716420172827871,0.8678522295750786,0.8716420172827871,False,136,2468,14390,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp016429005
80000,0.009806325079676392,0.019365770999757927,0.009806325079676392,0.00965948575399583,1.7375,2.0,1.021564364100471,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_023401895.1 Proteobacteria bacterium, ASM2340189v1",8032d226c34445df18cf6335cc7972cd,0.019365770999757927,80000,7,323000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8614099426146712,0.88052777111537,0.8709688568650206,0.88052777111537,False,139,2607,14390,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Microvirgula;s__Microvirgula aerodenitrificans
74000,0.009070850698700662,0.01695303550973654,0.009070850698700662,0.007991660875608061,1.554054054054054,1.5,0.7192693720092573,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428745.1 Elizabethkingia sp. ASV34 strain=ASV34, ASM1642874v1",c81c05f60ced59b403938042c0028901,0.01695303550973654,74000,8,249000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8592463144946398,0.8767564120001687,0.8680013632474043,0.8767564120001687,False,115,2722,14390,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola
63000,0.007722481000245158,0.008061420345489444,0.007722481000245158,0.008339124391938846,1.9047619047619047,2.0,0.7911070345636261,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429255.1 Rhizobium sp. ASV8 strain=ASV8, ASM1642925v1",a49478a5e63eb276530fb93c8a2331a7,0.008061420345489444,63000,9,186000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA16_P5_M06_WK9_2.trim.fastq.gz,DNA16_P5_M06_WK9,7d362342,8158000,31,DNA,1000,8158,True,0.8547972654210153,0.8559825066200256,0.8553898860205205,0.8559825066200256,False,120,2842,14390,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium sp016429255
