intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4253000,0.04387249845265113,0.9743413516609393,0.04387249845265113,0.07703367097011511,8.075476134493298,8.0,4.078317823117721,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428745.1 Elizabethkingia sp. ASV34 strain=ASV34, ASM1642874v1",c81c05f60ced59b403938042c0028901,0.9743413516609393,4253000,0,44100000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.9040652029764151,0.999161849089378,0.9516135260328966,0.999161849089378,False,34345,34345,445844,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola
4124000,0.04254177841964101,0.7355091849473872,0.04254177841964101,0.024522030127129668,2.651066925315228,2.0,1.8120250677491905,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428845.1 Citrobacter sp. ASV29 strain=ASV29, ASM1642884v1",232b94266f57b1c18c7f2ee192cb4237,0.7355091849473872,4124000,1,39976000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.9031673859286058,0.9901395091470652,0.9466534475378354,0.9901395091470652,False,10933,45278,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii
3472000,0.03581596864039612,0.5074583211465341,0.03579533732205488,0.019085150859942043,2.4521613832853024,2.0,1.7179807520590413,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_013407925.2 Pseudomonas protegens strain=H1F5C, ASM1340792v2",c61fec04b32dbdf4801cbdf9e64ddfb8,0.5077508043287511,3470000,2,36506000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8981674519821765,0.9783739003750417,0.938270676178609,0.9783739003750417,False,8509,53787,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP
3467000,0.03576439034454302,0.6241224122412241,0.03576439034454302,0.01659549079947246,2.1341217190654747,2.0,2.5757983352597495,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429065.1 Pedobacter sp. ASV17 strain=ASV17, ASM1642906v1",f0ef73ff9c535b91c9776aab04acba60,0.6241224122412241,3467000,3,33039000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8981256988834817,0.9849083044453214,0.9415170016644016,0.9849083044453214,False,7399,61186,445844,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp016429065
3224000,0.033257685166082115,0.7801984991527475,0.03324736950691149,0.055389329002969646,7.662116040955631,7.0,3.9439544127363706,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_023401895.1 Proteobacteria bacterium, ASM2340189v1",8032d226c34445df18cf6335cc7972cd,0.7804405712902445,3223000,4,29816000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8960228754740628,0.9920352210682875,0.9440290482711751,0.9920352210682875,False,24695,85881,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Microvirgula;s__Microvirgula aerodenitrificans
2798000,0.028863214359397565,0.4199459297086212,0.028842583041056323,0.01903804918312235,3.035765379113019,2.0,6.101444031045455,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_000018665.1 Delftia acidovorans SPH-1 strain=SPH-1, ASM1866v1",2dc41621472bcb21e0d78bdd26abd3aa,0.42024632021628117,2796000,5,27020000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.891936013791487,0.9724224241110759,0.9321792189512814,0.9724224241110759,False,8488,94369,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas acidovorans
2427000,0.025036104807097174,0.5508532423208191,0.024974210852073447,0.013296130485102413,2.448574969021066,2.0,2.232171328735183,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429115.1 Aquitalea sp. ASV15 strain=ASV15, ASM1642911v1",05a02e5d6bb4ca8a0a6dbe998cdab2c8,0.5522184300341297,2421000,6,24599000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8878525845300518,0.9810270822246031,0.9344398333773274,0.9810270822246031,False,5928,100297,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea magnusonii
2272000,0.023437177635650917,0.512316384180791,0.02338559933979781,0.011396362853374723,2.2412880458756064,2.0,1.4634218920998268,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429155.1 Pedobacter sp. ASV12 strain=ASV12, ASM1642915v1",8ea15f9c0e21bf88fa984f9c1e9dea06,0.5134463276836159,2267000,7,22332000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8859644592552915,0.9787260115857987,0.9323452354205451,0.9787260115857987,False,5081,105378,445844,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp016429155
2196000,0.02265318753868372,0.5680289705121573,0.02265318753868372,0.017183140291222938,3.488615664845173,3.0,2.3478001360593486,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_014717515.1 Acinetobacter seifertii strain=AS79, ASM1471751v1",1b68a5b6805a5cf0edfa70a42b72e3e9,0.5680289705121573,2196000,8,20136000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8849926330174684,0.9819208170034867,0.9334567250104775,0.9819208170034867,False,7661,113039,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter seifertii
2058000,0.021229626573138025,0.29870695917477846,0.021208995254796782,0.04058370192264559,8.800583657587548,8.0,5.201870328282137,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016919365.1 Sphingobacterium siyangense strain=PDNC006, ASM1691936v1",66c2c1e2c10872d77cf97c8303222119,0.29899753014673836,2056000,9,18080000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.883141713977891,0.961802832297032,0.9224722731374615,0.961802832297032,False,18094,131133,445844,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium siyangense
1756000,0.01811429750361048,0.3702667814113597,0.017753249432638746,0.006708624541319385,1.73794305636258,1.0,1.24201395896765,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428875.1 Xylophilus sp. ASV27 strain=ASV27, ASM1642887v1",f85162e548135bd23c305040ecaffc78,0.37779690189328746,1721000,10,16359000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA19_P19_M09_WK1_2.trim.fastq.gz,DNA19_P19_M09_WK1,15f4be77,96940000,31,DNA,1000,96940,True,0.8786322603879393,0.9690879065250638,0.9238600834565016,0.9690879065250638,False,2991,134124,445844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Xylophilus;s__Xylophilus sp016428875
