intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4229000,0.061304959192844614,0.9688430698739977,0.061304959192844614,0.1025542952465745,7.544809647670844,7.0,4.082466259149945,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428745.1 Elizabethkingia sp. ASV34 strain=ASV34, ASM1642874v1",c81c05f60ced59b403938042c0028901,0.9688430698739977,4229000,0,31390000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.9138753328418496,0.998979468490351,0.9564274006661003,0.998979468490351,False,31907,31907,311123,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola
4057000,0.05881159126161518,0.666502382125842,0.05881159126161518,0.046049311687017674,3.531427162928272,3.0,3.595050517996605,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_002483375.1 Delftia acidovorans, ASM248337v1",35e5e4e4fa881e76842bb8c40fdef1aa,0.666502382125842,4057000,1,27333000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.9126520965793202,0.9869977986970184,0.9498249476381693,0.9869977986970184,False,14327,46234,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas acidovorans
3668000,0.053172520765985824,0.5361216730038023,0.05314352811562269,0.033947988416156955,2.8810692853246045,2.0,1.8966869073023394,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_013407925.2 Pseudomonas protegens strain=H1F5C, ASM1340792v2",c61fec04b32dbdf4801cbdf9e64ddfb8,0.5364141561860193,3666000,2,23667000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.9096894060400592,0.9801086023468133,0.9448990041934362,0.9801086023468133,False,10562,56796,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP
3188000,0.046214284678833914,0.7712418300653595,0.046185292028470784,0.06969269388634078,6.80571249215317,6.0,3.661558504507929,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_023401895.1 Proteobacteria bacterium, ASM2340189v1",8032d226c34445df18cf6335cc7972cd,0.7717259743403534,3186000,3,20481000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.9055830093806404,0.991675943345439,0.9486294763630396,0.991675943345439,False,21683,78479,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Microvirgula;s__Microvirgula aerodenitrificans
2686000,0.03893712943768755,0.44877151930469666,0.03892263311250598,0.018744997959006568,2.172067039106145,2.0,1.395190598959089,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_018443145.1 Raoultella planticola strain=Survcare086, ASM1844314v1",f0da153d6133273272fc9fb9a91e980b,0.44893865953535017,2685000,4,17796000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.9005915519824081,0.9744963706155281,0.9375439612989681,0.9744963706155281,False,5832,84311,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella planticola
1845000,0.026745719959990144,0.41694915254237286,0.026745719959990144,0.012779511640090897,2.1550135501355014,2.0,1.6868157851529983,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429155.1 Pedobacter sp. ASV12 strain=ASV12, ASM1642915v1",8ea15f9c0e21bf88fa984f9c1e9dea06,0.41694915254237286,1845000,5,15951000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.8897464574361272,0.9721753743142424,0.9309609158751848,0.9721753743142424,False,3976,88287,311123,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp016429155
1833000,0.026571764057811344,0.26601772482928954,0.02654277140744821,0.0213773973637436,3.6324412889131623,3.0,2.6352681916789007,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016919365.1 Sphingobacterium siyangense strain=PDNC006, ASM1691936v1",66c2c1e2c10872d77cf97c8303222119,0.26630829580124943,1831000,6,14120000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.8895591910092063,0.9582173329428457,0.923888261976026,0.9582173329428457,False,6651,94938,311123,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium siyangense
1616000,0.02342606149341142,0.29102803738317756,0.022570778307698998,0.10046187520691173,20.07450224791265,19.0,8.320466279794264,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_001266835.1 Comamonas testosteroni strain=WDL7, ASM126683v1",31ecadb41593fea5f48bd755ff8f34fc,0.30205607476635515,1557000,7,12563000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.88595090102272,0.9621186460279391,0.9240347735253296,0.9621186460279391,False,31256,126194,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas testosteroni_C
913000,0.01323514489077019,0.14954954954954955,0.01323514489077019,0.00520051555172713,1.7721796276013144,1.0,1.0603959677774724,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_013823325.1 Methylobacterium sp., ASM1382332v1",f3ae498999dd8cb260bb75399301f42a,0.14954954954954955,913000,8,11650000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.8697823754368619,0.9405462686266916,0.9051643220317767,0.9405462686266916,False,1618,127812,311123,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__Bosea sp013823325
894000,0.012959714712320427,0.13452778621317948,0.012843744110867895,0.004943382520739386,1.7358916478555304,1.0,2.3076569585561626,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428805.1 Achromobacter sp. ASV32 strain=ASV32, ASM1642880v1",7611d959c597eb2462948a8ef0812806,0.1357424840570908,886000,9,10764000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.8691925234361195,0.9376118554879314,0.9034021894620254,0.9376118554879314,False,1538,129350,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Achromobacter;s__Achromobacter sp016428805
757000,0.01097371816244582,0.13695889414332485,0.010915732861719554,0.003644860714251277,1.5059760956175299,1.0,0.8295850156755252,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428815.1 Serratia sp. ASV30 strain=ASV30, ASM1642881v1",e5a07ef789dd06e9a4027ff8d8f0a2c1,0.13768643142961076,753000,10,10011000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA12_P45_M06_WK1_2.trim.fastq.gz,DNA12_P45_M06_WK1,cfa335af,68983000,31,DNA,1000,68983,True,0.8645410247513543,0.938042023763905,0.9012915242576296,0.938042023763905,False,1134,130484,311123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_A;s__Serratia_A fonticola
